"filename", "language", "XML", "HTML", "Markdown", "Java", "JavaScript", "Less", "CSS", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\user\repository\IUserRepository.java", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 79, 21, 119
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\domain\user\service\UserServiceImpl.java", "Java", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 7, 22, 105
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\common\Constants.java", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 5, 21, 79
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\common\EasyResult.java", "Java", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 5, 18, 79
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\common\PageReq.java", "Java", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 5, 13, 58
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\common\SocketChannelUtil.java", "Java", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 19, 14, 82
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\dao\IChatRecordDao.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 8, 23
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\dao\IGroupsDao.java", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 6, 19
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\dao\IGroupsMemberDao.java", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 3, 13
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\dao\ITalkBoxDao.java", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 10, 27
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\dao\IUserDao.java", "Java", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 10, 28
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\dao\IUserFriendDao.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 8, 23
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\dao\IUserGroupDao.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 5, 6, 18
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\po\ChatRecord.java", "Java", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 7, 22, 96
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\po\Groups.java", "Java", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 7, 16, 69
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\po\TalkBox.java", "Java", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 16, 67
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\po\User.java", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 18, 78
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\po\UserFriend.java", "Java", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 7, 16, 68
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\po\UserGroup.java", "Java", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 14, 60
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\repository\InetRepository.java", "Java", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 7, 44
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\infrastructure\repository\UserRepository.java", "Java", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 5, 20, 191
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\interfaces\InetController.java", "Java", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 5, 9, 63
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\MyBizHandler.java", "Java", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 13, 57
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\MyChannelInitializer.java", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 8, 7, 41
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\NettyServer.java", "Java", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 5, 13, 76
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\handler\AddFriendHandler.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 8, 7, 44
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\handler\DelTalkHandler.java", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\handler\LoginHandler.java", "Java", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 23, 14, 147
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\handler\MsgGroupHandler.java", "Java", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 10, 6, 51
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\handler\MsgHandler.java", "Java", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 11, 7, 45
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\handler\ReconnectHandler.java", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 9, 7, 39
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\handler\SearchFriendHandler.java", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 5, 7, 45
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\java\org\itstack\naive\chat\socket\handler\TalkNoticeHandler.java", "Java", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 11, 9, 68
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\application.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 2, 6, 26
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\mybatis\config\mybatis-config.xml", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\mybatis\mapper\ChatRecord_Mapper.xml", "XML", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\mybatis\mapper\Groups_Mapper.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\mybatis\mapper\TalkBox_Mapper.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
